final_eq,max_dd,min_eq
157120.82753017687,-1030.2347458814038,4985.519999999998
148996.28558432186,-1534.951487272665,4994.759999999999
145127.1560411071,-1248.4242363900084,4677.102404343036
136632.81177414142,-1104.4400000003516,4976.279999999995
148803.7572286617,-1271.0800000000745,4647.106263738432
152440.15441326334,-1327.640000000043,4834.9999999999945
163746.73866512981,-1459.0489169891807,4727.119999999944
170254.1717487213,-1443.8600442483585,5007.040000000003
144018.63946905348,-1117.9600000000064,4914.639999999982
145505.1353705714,-1452.0000000000127,4869.999999999974
167130.8692165143,-1201.7999999998137,4969.280000000002
151524.26166324274,-1501.8875683089718,5056.7599999999975
153211.50320325262,-1152.9348768764467,4976.799999999993
161380.6010812372,-1485.6551843396737,4989.52
157477.65706001298,-901.3200000000797,4589.500126666862
136749.62123301456,-1355.99734071485,4506.80780302145
159088.30245403023,-1380.320000000167,4782.120000000001
143691.3374188755,-847.1199999999953,4981.447973279218
163226.41728346053,-1320.2918894089526,4980.279999999996
161229.47394106176,-978.4435429936348,4825.119999999982
147810.06868410535,-1854.1200000002864,4939.799999999995
156911.01837864338,-1796.8130043605233,5167.759999999997
140935.39723237418,-1314.0000000001091,4963.799999999991
146332.3892552974,-1276.4573570774228,4957.2399999999825
148542.0895440506,-1938.2038364811087,4967.965143736258
148731.6130636843,-1195.3648553229432,5171.32
145245.25687876786,-1421.4400000000096,4872.839999999987
161550.24995767308,-897.3717261738202,5109.519999999999
149048.68933404662,-1244.3199999999852,4848.923965271721
156888.48425845348,-1232.8444137088227,4999.079999999983
146870.5581222016,-1416.5999999996275,4874.879999999983
173828.5212063295,-843.1555693246773,4962.279999999994
135263.27205121977,-1085.9199999999837,4719.526100807296
136458.96914263157,-1134.2000000000044,4891.064952332192
169488.54417243123,-1121.1600000000326,5060.76
145780.93076668467,-1195.5345000989764,5002.759999999998
163301.28311421775,-963.1124505081098,4936.039999999999
161534.32194965778,-834.0724311151134,4901.359999999986
141760.06880782882,-1149.9600000000064,4987.52
132654.9489969493,-1532.516252096786,4970.5199999999995
143389.55327114085,-1528.2135792767076,4321.839999999933
151768.4781545253,-1228.3547458814282,5002.759999999998
179221.54902141832,-1109.0542239463248,5030.519999999995
152474.2091578533,-1346.7332438844533,4814.959999999957
153200.81065271777,-1844.0870684376168,4990.279999999992
154382.3960609744,-1369.2800000002171,4981.759999999999
164977.6897021229,-1541.6128073729778,4938.559999999995
152681.39054244748,-1135.484810429858,4914.040000000001
147098.20400932542,-1594.3173407150025,4968.0400000000045
146603.62799295876,-1168.7275107622918,4981.040000000002
156570.3668341378,-1441.6870684375026,4866.439999999972
129730.96239558527,-1323.6150476678522,4965.520000000002
174840.36432105344,-1174.3600000000006,4570.079999999977
152931.0315500744,-1285.9017029190509,4689.95821222495
145645.19804379687,-1243.0400000000009,4959.559999999987
151064.56427061767,-987.6882257486868,4575.59999999999
139725.05320373186,-1061.8644188354374,4961.519999999997
177819.00796579642,-1159.4400000000169,4963.519999999967
144712.74135705846,-1273.5999999994237,4837.3196464759185
167680.1044852888,-1054.5039622969634,4867.679999999991
143471.5334931375,-1566.382893174854,4659.971387225057
147239.85165485152,-1574.6400000002614,4873.1199999999835
136304.36617766382,-1516.0432370066628,5020.766744117363
149168.39573458277,-1154.064418835198,4740.119999999965
156801.53633569987,-767.2223775873426,4961.279999999995
153980.8641779466,-1719.5477316030883,4919.385913585641
146600.56751219148,-991.4965233139519,4982.879999999978
159989.3624822312,-1443.320000000018,5058.519999999997
160615.21057034243,-1039.19723529791,4952.839999999992
152025.34353710755,-1475.7199999992736,4866.359999999984
152712.1370338328,-1135.4535980554647,4994.519999999999
155842.5553924755,-980.2526622253499,5000.76
142971.73101985635,-1553.0727524651666,4924.07999999999
134106.14115223457,-1339.0648991319613,4992.279999999999
142156.58913186754,-1636.784141379423,4838.606213926089
142462.17926551373,-1620.036800027112,5004.759999999997
138524.43538968996,-1289.08000000006,5059.562284770191
128263.05051759443,-1584.54787342911,4890.724530777813
153043.0394744135,-1091.719999999994,4863.59999999998
164682.50899557595,-2327.0548768764056,4980.759999999998
146591.2178031274,-1392.9430476847447,5045.039999999991
160479.07519495816,-1191.2400000000926,4798.119999999997
149691.1359733001,-1882.1200000001409,5011.559999999994
133729.7181107155,-1353.0964221948598,4984.959999999962
141777.27051218273,-1277.720000000205,4618.4707931923285
171440.77403411386,-1216.0675934457395,4987.745776053959
164302.62294900283,-915.3958690003783,4877.9999999999445
148893.42233727392,-995.7687184851529,4979.039999999992
152245.92092580182,-1219.9337362615624,4965.759999999998
